

| # | Industry | Department | Trade | Specialization |
| 129 | Hospitality & Catering | Food & Beverage | Bakery & Pastry | Bakery & Pastries |
| 130 | Hospitality & Catering | Front Office & Guest Services | Front Office | Bellboy |
| 131 | Hospitality & Catering | Food & Beverage | Chef / Cook | Chef-Owner / Group Chef |
| 132 | Hospitality & Catering | Food & Beverage | Beverages | Barista (Coffee Maker) |
| 133 | Cement, Mining & Steel | Engineering | Design & Drafting | 3D CAD Draughtsman |
| 134 | Aviation & Aerospace | Engineering | Aeronautical | Aeronautical Engineer |
| 135 | Cement, Mining & Steel | Engineering | Civil & Structural | Architect Engineer |
| 136 | Cement, Mining & Steel | Health, Safety & Environment | HSE | Assistant Manager – HSE |
| 137 | Mining | Operations | Mining Management | Assistant Mines Manager |
| 138 | Cement, Mining & Steel | Engineering | Automation & Control | Automation Engineer |
| 139 | Cement, Mining & Steel | Engineering | Chemical Engineering | Chemical Engineer |
| 140 | Energy & Utilities | Sales & Business Development | Sales | Commercial Solar Energy Sales Representative |
| 141 | Cement, Mining & Steel | Quality & Inspection | Inspection | Communication QC Inspector |
| 142 | Cement, Mining & Steel | IT & Technology | IT Support & Operations | Desktop Support Engineer |
| 143 | Mining | Engineering | Drilling | Drilling Engineer |
| 144 | Cement, Mining & Steel | Engineering | Electrical & Instrumentation | E&I Inspector |
| 145 | Construction | Engineering | Fire & Safety Systems | Fire Protection & Suppression Design Engineer |
| 146 | Construction | Engineering | MEP | HVAC Draftsman |
| 147 | Cement, Mining & Steel | Engineering | Mechanical | Lead Mechanical Engineer |
| 148 | Construction | Engineering | MEP | MEP Design Engineer |
| 149 | Oil & Gas | Engineering | Piping | PDS Piping Designer |
| 150 | Cement, Mining & Steel | Engineering | Production & Maintenance | Production & Maintenance Engineer |
| 151 | Cement, Mining & Steel | Sales & Business Development | Account Planning | Account Planning Head |
| 152 | Cement, Mining & Steel | Accounting & Finance | Accounts | Accounts Assistant |
| 153 | Cement, Mining & Steel | Administration | Admin & Office Management | Administration Assistant |
| 154 | Cement, Mining & Steel | Administration | Admin & Office Management | Assistant Company Secretary |
| 155 | Cement, Mining & Steel | Accounting & Finance | Finance | Assistant Finance Analyst |
| 156 | Cement, Mining & Steel | Sales & Business Development | Business Development | BD Agent |
| 157 | Cement, Mining & Steel | Sales & Business Development | Direct Marketing | Direct Marketing Manager / Head |
| 158 | Insurance & Financial Services | Accounting & Finance | Accounts | Insurance Accountant |
| 159 | Cement, Mining & Steel | Marketing & Communications | Media & Analytics | Media Analyst |
| 160 | Cement, Mining & Steel | Health, Safety & Environment | HSE | Assistant Manager – HSE |
| 161 | Cement, Mining & Steel | Quality & Inspection | Inspection | API Inspector |
| 162 | Cement, Mining & Steel | Manufacturing | Fabrication | Aluminium Fabricator |
| 163 | Cement, Mining & Steel | Manufacturing | CNC Operations | CNC Operator – Fiber Metal Machine |
| 164 | Cement, Mining & Steel | Operations | Plant Operations | CCR Operator |
| 165 | Cement, Mining & Steel | Manufacturing | Welding | MIG Welder (1G / 2G / 3G / 4G) GMAW |
| 166 | Cement, Mining & Steel | Operations | Carpentry | Carpentry Foreman |
| 167 | Cement, Mining & Steel | Operations | Masonry | Mason – Brick |
| 168 | Cement, Mining & Steel | Operations | Painting | Assistant Painter |
| 169 | Cement, Mining & Steel | Operations | Plumbing | Plumber – HDPE |
| 170 | Cement, Mining & Steel | Operations | General Labour | Helper |
| 171 | Cement, Mining & Steel | IT & Technology | Developer | Cloud Services Developer |
| 172 | Cement, Mining & Steel | IT & Technology | Cloud & Infrastructure | Cloud Software & Network Engineer |
| 173 | Cement, Mining & Steel | IT & Technology | Developer | Computer Programmer |
| 174 | Cement, Mining & Steel | IT & Technology | IT Management | Computer Systems Manager |
| 175 | Cement, Mining & Steel | IT & Technology | IT Support & Operations | Desktop Support Specialist |
| 176 | Cement, Mining & Steel | IT & Technology | Developer | Developer |
| 177 | Cement, Mining & Steel | IT & Technology | IT Management | IT Manager |
| 178 | Cement, Mining & Steel | IT & Technology | Research & Science | Research Scientist |
| 179 | Cement, Mining & Steel | IT & Technology | IT Support & Operations | Senior Systems Analyst |
| 180 | Cement, Mining & Steel | Maintenance & Facilities | BMS / HVAC / Fire | Generator Technician |
| 181 | Cement, Mining & Steel | Maintenance & Facilities | Instrumentation & Control | Analyser Technician – Construction |
| 182 | Academic | Trainer | Commercial Trainer | Freelance Trainer |
| 183 | Academic | Trainer | Industrial Trainer | Field Trainer |

Continuing from **#184**:

---

**Group: Chemical — Architecture | Engineer (department wrong)**

| # | Industry | Department | Trade | Specialization |
|---|----------|------------|-------|----------------|
| 184 | Aviation & Aerospace | Engineering | Aeronautical | Aeronautical Specialist |
| 185 | Chemical / Fertilizers / Plastic / Rubber / Glass | Quality & Inspection | Inspection | Building / Utility Inspector |
| 186 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Architecture | Architect Consultant |
| 187 | Chemical / Fertilizers / Plastic / Rubber / Glass | Health, Safety & Environment | HSE | Assistant Safety Manager |
| 188 | Chemical / Fertilizers / Plastic / Rubber / Glass | Operations | Chemical Production | Chemical Foreman |
| 189 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Commercial Engineering | Commercial Engineer |
| 190 | Energy & Utilities | Operations | Renewable Energy | Commercial Solar Foreman |
| 191 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Instrumentation & Control | Control & Instrument Engineer |
| 192 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Electrical & Automation | Electrical & Automation Manager |
| 193 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Electrical & Electronics | Electrical & Electronics Engineer |
| 194 | Construction | Engineering | MEP | HVAC Draughtsman |
| 195 | Chemical / Fertilizers / Plastic / Rubber / Glass | Procurement & Planning | Supply Chain | Material Planner / Expediter |
| 196 | Chemical / Fertilizers / Plastic / Rubber / Glass | Manufacturing | Assembly | Mechanical Assembler |
| 197 | Construction | Engineering | MEP | MEP Designer |
| 198 | Mining | Operations | Mining Management | Mines Manager |
| 199 | Oil & Gas | Engineering | Pipeline | Pipeline Construction Engineer |
| 200 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Process Control | Process Control Engineer |
| 201 | Chemical / Fertilizers / Plastic / Rubber / Glass | Engineering | Production Engineering | Production Engineer |
| 202 | Chemical / Fertilizers / Plastic / Rubber / Glass | Sales & Business Development | Account Planning | Account Planning Manager |
| 203 | Chemical / Fertilizers / Plastic / Rubber / Glass | Accounting & Finance | Accounts Payable | Accounts Payable Specialist |
| 204 | Chemical / Fertilizers / Plastic / Rubber / Glass | Administration | Admin & Office Management | Administration Clerk |
| 205 | Chemical / Fertilizers / Plastic / Rubber / Glass | Accounting & Finance | Finance | Assistant Finance Director |
| 206 | Chemical / Fertilizers / Plastic / Rubber / Glass | Administration | Front Office | Assistant Manager – Front Office |
| 207 | Chemical / Fertilizers / Plastic / Rubber / Glass | Sales & Business Development | Business Development | BD Analyst |
| 208 | Insurance & Financial Services | Administration | Admin & Office Management | Insurance Administrator |
| 209 | Chemical / Fertilizers / Plastic / Rubber / Glass | Sales & Business Development | International Marketing | International Marketing / Business Manager |
| 210 | Media & Creative | Design & Creative | Graphic & Visual Design | Macromedia Flash Designer |
| 211 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | Cloud & Infrastructure | Cloud System Administrator |
| 212 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | Developer | Developer |
| 213 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | Developer | Front End Developer |
| 214 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | IT Support & Operations | Help Desk Specialist |
| 215 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | Data & Analytics | IT Analyst |
| 216 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | Developer | Java Developer |
| 217 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | Research & Science | Machine Learning Engineer |
| 218 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | IT Management | Management Information Systems Director |
| 219 | Chemical / Fertilizers / Plastic / Rubber / Glass | IT & Technology | IT Support & Operations | Systems Analyst |
| 220 | Chemical / Fertilizers / Plastic / Rubber / Glass | Commissioning & Pre-Commissioning | BMS / HVAC / Fire | PDM Technician |
| 221 | Chemical / Fertilizers / Plastic / Rubber / Glass | Commissioning & Pre-Commissioning | Instrumentation & Control | Analyser Technician – Shutdown Specialist |
| 222 | Chemical / Fertilizers / Plastic / Rubber / Glass | Health, Safety & Environment | HSE | Assistant Safety Manager |
| 223 | Chemical / Fertilizers / Plastic / Rubber / Glass | Quality & Inspection | Inspection | Batching Inspector |
| 224 | Chemical / Fertilizers / Plastic / Rubber / Glass | Manufacturing | Fabrication & Fitting | Conduit Fitter |
| 225 | Chemical / Fertilizers / Plastic / Rubber / Glass | Manufacturing | Welding | MIG Welder (5G / 6G / 6GR) GMAW |
| 226 | Health & Fitness | Trainer | Commercial Trainer | Life Skills (Lifeguard) Trainer |
| 227 | Academic | Trainer | Industrial Trainer | HSE Trainer |
| 228 | Chemical / Fertilizers / Plastic / Rubber / Glass | Manufacturing | CNC Operations | CNC Operator & Programmer |
| 229 | Chemical / Fertilizers / Plastic / Rubber / Glass | Operations | Chemical Operations | Chemical Operator |
| 230 | Chemical / Fertilizers / Plastic / Rubber / Glass | Operations | Carpentry | Carpentry Supervisor |
| 231 | Chemical / Fertilizers / Plastic / Rubber / Glass | Operations | Masonry | Mason – Ceramic Tiles |
| 232 | Chemical / Fertilizers / Plastic / Rubber / Glass | Operations | Painting | Auto Painter |
| 233 | Chemical / Fertilizers / Plastic / Rubber / Glass | Operations | Plumbing | Plumber – Technical |
| 234 | Courier / Transportation / Freight | IT & Technology | Cloud & Infrastructure | Cloud System Engineer |
| 235 | Courier / Transportation / Freight | IT & Technology | Data & Analytics | Data Scientist |
| 236 | Courier / Transportation / Freight | IT & Technology | IT Support & Operations | Help Desk Technician |
| 237 | Courier / Transportation / Freight | IT & Technology | IT Support & Operations | IT Coordinator |
| 238 | Courier / Transportation / Freight | IT & Technology | Developer | Java Developer |
| 239 | Courier / Transportation / Freight | IT & Technology | Developer | Junior Software Engineer |
| 240 | Courier / Transportation / Freight | IT & Technology | Cloud & Infrastructure | Network Engineer |
| 241 | Courier / Transportation / Freight | IT & Technology | IT Support & Operations | Systems Designer |
| 242 | Healthcare | Sales & Business Development | Sales | Account Executive |
| 243 | Healthcare | Allied Health | Mental Health | Accredited Mental Health Social Worker |
| 244 | Healthcare | Allied Health | Alternative Medicine | Acupuncturist |
| 245 | Healthcare | Allied Health | Anaesthesiology | Anaesthetic Technologist |
| 246 | Healthcare | Nursing | General Nursing | Assistant in Nursing |
| 247 | Healthcare | Allied Health | Audiology | Audiologist |
| 248 | Healthcare | Allied Health | Nutrition & Dietetics | CNS – Certified Nutrition Specialist |
| 249 | Healthcare | Pharmacy | Community Pharmacy | Community Pharmacist |
| 250 | Healthcare | Dental | Dental Support | Dental Assistant |
| 251 | Healthcare | Emergency & Paramedics | Emergency Services | Paramedic |
| 252 | Healthcare | Medical | General Practice | Physician |
| 253 | Healthcare | Veterinary | Animal Health | Veterinarian |
| 254 | Defence / Government | IT & Technology | Data & Analytics | Business Intelligence Developer |
| 255 | Defence / Government | IT & Technology | Data & Analytics | IT Analyst |
| 256 | Defence / Government | IT & Technology | Developer | Junior Software Engineer |
| 257 | Defence / Government | IT & Technology | Cloud & Infrastructure | Network Administrator |
| 258 | Defence / Government | IT & Technology | Developer | Oracle Consultant |
| 259 | Defence / Government | IT & Technology | Developer | Oracle Developer |
| 260 | Defence / Government | IT & Technology | IT Management | Team Leader – IT |
| 261 | Ecommerce | IT & Technology | Data & Analytics | Big Data Engineer |
| 262 | Ecommerce | IT & Technology | IT Support & Operations | IT Coordinator |
| 263 | Ecommerce | IT & Technology | Cloud & Infrastructure | Network & Computer Systems Administrator |
| 264 | Ecommerce | IT & Technology | Developer | Oracle Consultant |
| 265 | Ecommerce | IT & Technology | Developer | Oracle Developer |
| 266 | Ecommerce | IT & Technology | IT Support & Operations | Senior Web Administrator |
| 267 | Ecommerce | IT & Technology | IT Support & Operations | Technical Operations Officer |
| 268 | Education & Training | IT & Technology | IT Support & Operations | IT Support Engineer |
| 269 | Education & Training | IT & Technology | Cloud & Infrastructure | Network Architect |
| 270 | Education & Training | IT & Technology | Developer | Oracle Developer |
| 271 | Education & Training | IT & Technology | Developer | Oracle ERP Consultant |
| 272 | Education & Training | IT & Technology | Research & Science | Robotics Engineer |
| 273 | Education & Training | IT & Technology | Developer | Senior Web Developer |
| 274 | Security Services | Operations | CCTV & Surveillance | CCTV Surveillance Operator |
| 275 | Hospitality & Catering | Food & Beverage | Chef / Cook | Executive Chef (Chef de Cuisine / Head Chef) |
| 276 | Hospitality & Catering | Food & Beverage | Beverages | Barista / Coffee Maker |
| 277 | Exploration & Production | Engineering | Design & Drafting | 3D Designer |
| 278 | Exploration & Production | Engineering | Design & Drafting | 3D Modeling |
| 279 | Exploration & Production | Marine & Offshore | Deck Operations | AB Seaman |
| 280 | Exploration & Production | Marine & Offshore | Deck Operations | Able Bodied Seaman (AB Seaman) |
| 281 | Exploration & Production | Operations | Well Services | Abandonment Engineer |
| 282 | Exploration & Production | Accounting & Finance | Accounts | Accounting / Finance Executive |
| 283 | Exploration & Production | Maintenance & Facilities | HVAC & Mechanical | AC Technician |
| 284 | Exploration & Production | Operations | Drilling | Assessment Driller |
| 285 | Exploration & Production | Engineering | Asset Integrity | Asset Integrity Engineer |
| 286 | Exploration & Production | Engineering | Subsea | Assistant Subsea Engineer |
| 287 | Exploration & Production | Operations | Drilling | BOP Inspector |
| 288 | Hospitality & Catering | Food & Beverage | Chef / Cook | Catering – General |
| 289 | Exploration & Production | Operations | Chemical Operations | Chemical Operator |
| 290 | Exploration & Production | Operations | Well Services | Client Representative |
| 291 | Exploration & Production | Operations | Control Room | Control Room Incharge / Supervisor |
| 292 | Facility Management | Administration | Admin & Office Management | Conference Organizer |
| 293 | Hospitality & Catering | Food & Beverage | Chef / Cook | Fish Chef (Poissonier) |
| 294 | Hospitality & Catering | Food & Beverage | Beverages | Bartender |
| 295 | Facility Management | Maintenance & Facilities | BMS / HVAC / Fire | Pump Technician |
| 296 | Facility Management | Maintenance & Facilities | Instrumentation & Control | Condition Monitoring Technician |
| 297 | Facility Management | Transport & Logistics | Driver | Driver – Commercial (Company) |
| 298 | Facility Management | Operations | Heavy Equipment | Compactor Operator |
| 299 | Facility Management | Manufacturing | Fabrication & Fitting | Duct Fabricator / Ductman |
| 300 | Facility Management | Manufacturing | Welding | MIG Welder (5G / 6G) GMAW |
| 301 | Facility Management | Sales & Business Development | Sales | Sales Trainer |
| 302 | Facility Management | Maintenance & Facilities | Instrumentation & Control | Instrument Trainer |
| 303 | FMCG | Administration | Admin & Office Management | Administration Executive |
| 304 | FMCG | Marketing & Communications | Advertising | Advertising Account Executive |
| 305 | FMCG | Accounting & Finance | Finance | Asset Management (CFA / CIMA) |
| 306 | FMCG | Accounting & Finance | Finance | Assistant Finance Manager |
| 307 | FMCG | Administration | Admin & Office Management | Back Office Assistant |
| 308 | FMCG | Sales & Business Development | Business Development | BD Assistant |
| 309 | Insurance & Financial Services | Sales & Business Development | Insurance | Insurance Advisor |
| 310 | FMCG | Marketing & Communications | Market Research | Market Research – Client Servicing Executive |
| 311 | FMCG | Marketing & Communications | Media Buying | Media Buying Executive / Officer |
| 312 | FMCG | Sales & Business Development | Corporate Sales | Corporate Sales & BDM |
| 313 | Hospitality & Catering | Food & Beverage | Chef / Cook | Fry Chef (Friturier) |
| 314 | Hospitality & Catering | Food & Beverage | Beverages | Bartender – Juice & Drinks |
| 315 | Aviation & Aerospace | Engineering | Aircraft Maintenance | Aircraft Engineer |
| 316 | Construction | Engineering | Cost Engineering | Cost Engineer |
| 317 | Construction | Engineering | Architecture | Architect Planner |
| 318 | FMCG | Health, Safety & Environment | HSE | Assistant Manager – EHS |
| 319 | FMCG | Quality & Inspection | Inspection | Chemical Inspector |
| 320 | FMCG | IT & Technology | IT Management | Configuration Manager |
| 321 | Energy & Utilities | Operations | Renewable Energy | Director – Solar & Renewable Energy |
| 322 | FMCG | Engineering | Electrical & Automation | Electrical Automation Engineer |
| 323 | Telecommunications | Engineering | Communications | Electronic Communication Engineer |
| 324 | FMCG | Engineering | Instrumentation & Control | Electronic Instrument Engineer |
| 325 | Construction | Engineering | MEP | HVAC Engineer |
| 326 | FMCG | Engineering | Mechanical | Mechanical CAD Engineer |
| 327 | Construction | Engineering | MEP | MEP Draughtsman |
| 328 | Mining | Operations | Mining Management | Mine Superintendent |
| 329 | FMCG | Engineering | Operations & Maintenance | O&M Engineer |
| 330 | Oil & Gas | Engineering | Pipeline | Pipeline Design Engineer |
| 331 | FMCG | Engineering | Process Engineering | Process Engineer |
| 332 | FMCG | Engineering | Production Engineering | Production Engineer Trainee |
| 333 | FMCG | Operations | Flooring & Finishing | Carpet Technician |
| 334 | FMCG | Operations | Masonry | Mason – Cladding Fixer |
| 335 | FMCG | Operations | Painting | Blaster cum Spray Painter |
| 336 | FMCG | Operations | Plumbing | Plumber – Fabrication |
| 337 | FMCG | Maintenance & Facilities | BMS / HVAC / Fire | Quay Crane Electrician |
| 338 | FMCG | Maintenance & Facilities | Instrumentation & Control | Electrical Technician – Construction |
| 339 | FMCG | Quality & Inspection | Inspection | BGAS Inspector |
| 340 | FMCG | IT & Technology | Research & Science | Computer Vision Engineer |
| 341 | FMCG | IT & Technology | IT Support & Operations | IT Support Manager |
| 342 | FMCG | IT & Technology | Cloud & Infrastructure | Network Engineer |
| 343 | FMCG | IT & Technology | Developer | Oracle ERP Consultant |
| 344 | FMCG | IT & Technology | Developer | Oracle HRMS Consultant |
| 345 | FMCG | IT & Technology | Developer | Software Developer |
| 346 | FMCG | Health, Safety & Environment | HSE | Chief Crew – Fire Fighting |
| 347 | Academic | Trainer | Commercial Trainer | Senior Corporate Trainer |
| 348 | FMCG | Manufacturing | Fabrication & Fitting | Duct Fitter / Ductman |
| 349 | Academic | Trainer | Industrial Trainer | Machine Operator Trainer |
| 350 | FMCG | Manufacturing | CNC Operations | CNC / VMC Operator |
| 351 | FMCG | Operations | Plant Operations | Commissioning Supervisor / Field Operator |
| 352 | FMCG | Manufacturing | Welding | Multi-Process Welder |
